ImageNumber,ObjectNumber,AreaShape_Area,Intensity_IntegratedIntensity_CorrGray,Intensity_IntegratedIntensity_OrigBlot,Location_CenterMassIntensity_X_CorrGray,Location_CenterMassIntensity_X_OrigBlot,Location_CenterMassIntensity_Y_CorrGray,Location_CenterMassIntensity_Y_OrigBlot,Location_Center_X,Location_Center_Y
1,43,429,74.08865320682526,127.43746088445187,2019.019272734383,2018.4467191631431,326.12120049765383,326.10686988740923,2017.6503496503497,326.0815850815851
1,44,471,80.61275490373373,139.1424734890461,218.36849995786804,217.72158099531418,325.8704909226382,325.92735282279824,216.8343949044586,326.0063694267516
1,45,453,78.05383285880089,134.60973533988,415.22041901155404,414.51514971248224,325.72593639870445,325.66504050856366,413.5408388520971,325.58057395143487
1,46,416,71.21390017867088,122.9335011690855,813.1505467006295,812.5782321799575,325.34836207298406,325.3095422790856,811.7908653846154,325.2548076923077
1,47,437,73.99278040975332,128.29358349740505,1614.5270587449886,1613.8669696348452,325.9868627721258,325.9704399100177,1612.9633867276889,325.94736842105266
1,48,461,78.5958324894309,135.84348772466183,1812.8401433095366,1812.162535859799,325.46655502154437,325.46779810290457,1811.2299349240782,325.472885032538
1,49,431,73.81399036198854,127.44965261220932,617.3398001084748,616.7437478265846,326.44750300608797,326.4390435463092,615.9257540603248,326.4292343387471
1,50,469,80.44844637811184,138.5431907773018,1017.8798142555484,1017.1450950401513,326.4033330351889,326.4174886302704,1016.1257995735608,326.43923240938165
1,51,454,78.20080810785294,134.59948115050793,216.0949150058325,215.4612029845137,376.1341657159564,376.13717756056593,214.58370044052865,376.1431718061674
1,52,458,77.83387440443039,134.6278477460146,615.0260509468387,614.3772447939509,375.877571399921,375.88351057523,613.4890829694323,375.89082969432314
1,53,484,82.2742191851139,142.29675725102425,812.7085162623913,811.9869408563823,375.79065015756333,375.8655247446264,810.9958677685951,375.9690082644628
1,54,466,79.00607438385487,136.56250824034214,1015.6677727512123,1014.9851274176348,375.2690534008316,375.2628800939507,1014.0429184549356,375.2575107296137
1,55,457,76.92037670314312,133.71592290699482,1416.0216597875094,1415.3618194221103,375.34253616314965,375.34982009166004,1414.4660831509848,375.35886214442013
1,56,480,82.59238457679749,142.20764502882957,1612.8211404853719,1612.13725675187,375.66213579162104,375.6687569911387,1611.1854166666667,375.6791666666667
1,57,476,81.54909323900938,140.77619574964046,2013.2625355779971,2012.5889652747755,376.07576302065,376.0781359314295,2011.6596638655462,376.0840336134454
1,58,513,89.01866062730551,152.9858091622591,414.89644449813346,414.1178151645724,377.1113443872981,377.0948883152947,413.03118908382066,377.0682261208577
1,59,491,83.82714657485485,145.2477455586195,1212.4635296319104,1211.7350985255239,376.16563440106376,376.241573547064,1210.7393075356415,376.3421588594705
1,60,471,80.96214155852795,139.45365069806576,1816.7440920779118,1816.0751219887582,376.23686627035715,376.19905722946254,1815.1464968152866,376.1443736730361
1,61,476,81.54444313049316,140.2882276326418,1016.9209281646698,1016.2229235332779,425.83671025150153,425.851544128236,1015.2563025210084,425.86764705882354
1,62,420,70.49094227701426,122.86721575260162,416.21147220431055,415.67372324782434,426.40758145940146,426.477478001354,414.9547619047619,426.57142857142856
